Temp_1,PO4_1,NH4_1,NO3_1,CBOD_1,alga_1,DO_1,Temp_2,PO4_2,NH4_2,NO3_2,CBOD_2,alga_2,DO_2,TAIR,WIND,Q_out,Elevation,CHLA
6.590836283,0.06654336,1.35170672,0.62035584,15.91799456,0.08944,2.253888,7.970313645,0.048672,1.119456,3.46112,15.79136,0.10816,2.871648,11.88,0.5144444,0.685262,1287.0832,2.795
6.799368326,0.06654336,1.35170672,0.62035584,15.91799456,0.08944,2.253888,8.22249193,0.048672,1.119456,3.46112,15.79136,0.10816,2.871648,8.6000002,0,0.685262,1287.065,5.542
6.931014168,0.06654336,1.35170672,0.62035584,15.91799456,0.08944,2.253888,8.381691552,0.048672,1.119456,3.46112,15.79136,0.10816,2.871648,7.68,0,0.685262,1287.0586,10.659
7.011942163,0.06654336,1.35170672,0.62035584,15.91799456,0.08944,2.253888,8.479557965,0.048672,1.119456,3.46112,15.79136,0.10816,2.871648,7.12,0.3086666,0.685262,1287.0432,19.504
7.076352379,0.06654336,1.35170672,0.62035584,15.91799456,0.08944,2.253888,8.557449389,0.048672,1.119456,3.46112,15.79136,0.10816,2.871648,9.28,1.028889,0.685262,1287.0178,24.237
7.1189768,0.06654336,1.35170672,0.62035584,15.91799456,0.08944,2.253888,8.6089952,0.048672,1.119456,3.46112,15.79136,0.10816,2.871648,9.32,0.6173332,0.685262,1286.9848,22.617
17.07446617,0.8560526,3.42336072,2.10890576,32.8741192,1.27452,4.949386,20.64819165,0.115596,3.801824,13.255008,33.754032,0.25688,6.961448,7.8,0,1.50463,1286.992,20.394
17.16505905,0.8560526,3.42336072,2.10890576,32.8741192,1.27452,4.949386,20.75774583,0.115596,3.801824,13.255008,33.754032,0.25688,6.961448,6.12,0.2057778,1.50463,1287.0624,17.291
17.20345821,0.8560526,3.42336072,2.10890576,32.8741192,1.27452,4.949386,20.80418203,0.115596,3.801824,13.255008,33.754032,0.25688,6.961448,5.24,0,1.50463,1287.1374,15.912
17.14185641,0.8560526,3.42336072,2.10890576,32.8741192,1.27452,4.949386,20.72968683,0.115596,3.801824,13.255008,33.754032,0.25688,6.961448,7.28,0.3086666,1.50463,1287.2142,11.199
16.99960511,0.8560526,3.42336072,2.10890576,32.8741192,1.27452,4.949386,20.557662,0.115596,3.801824,13.255008,33.754032,0.25688,6.961448,0.6,0,1.50463,1287.2944,7.97
16.69432146,0.8560526,3.42336072,2.10890576,32.8741192,1.27452,4.949386,20.18848177,0.115596,3.801824,13.255008,33.754032,0.25688,6.961448,-0.52,0,1.50463,1287.3812,5.96
20.58920834,0.39542112,4.01612862,3.48757176,30.8444418,2.92314,9.606501,24.89857753,0.144612,1.896024,20.936604,46.91856,0.32136,11.745708,0.92,0,2.314815,1287.4652,4.4
20.29921159,0.39542112,4.01612862,3.48757176,30.8444418,2.92314,9.606501,24.54788379,0.144612,1.896024,20.936604,46.91856,0.32136,11.745708,2.2400002,0,2.314815,1287.5438,3.393
20.03612102,0.39542112,4.01612862,3.48757176,30.8444418,2.92314,9.606501,24.22972775,0.144612,1.896024,20.936604,46.91856,0.32136,11.745708,5.16,1.1317778,2.314815,1287.6248,2.658
19.88924387,0.39542112,4.01612862,3.48757176,30.8444418,2.92314,9.606501,24.05210886,0.144612,1.896024,20.936604,46.91856,0.32136,11.745708,0.88,0,2.314815,1287.7052,2.038
19.50523362,0.39542112,4.01612862,3.48757176,30.8444418,2.92314,9.606501,23.58772438,0.144612,1.896024,20.936604,46.91856,0.32136,11.745708,-1.44,0,2.314815,1287.7922,1.387
19.10245416,0.39542112,4.01612862,3.48757176,30.8444418,2.92314,9.606501,23.10064224,0.144612,1.896024,20.936604,46.91856,0.32136,11.745708,-5.36,0,2.314815,1287.879,1.137
26.70751624,1.3020744,1.60334616,0.1947384,1.011876,0.19092,11.26428,32.2974615,0.23088,4.84848,9.142848,2.3088,0.23088,23.088,-4,0,3.009259,1288.0032,0.969
25.40878676,1.3020744,1.60334616,0.1947384,1.011876,0.19092,11.26428,30.72690492,0.23088,4.84848,9.142848,2.3088,0.23088,23.088,-14.8,0,3.009259,1288.1744,0.906
24.58585664,1.3020744,1.60334616,0.1947384,1.011876,0.19092,11.26428,29.73173362,0.23088,4.84848,9.142848,2.3088,0.23088,23.088,-0.8,0,3.009259,1288.3488,0.918
24.03557938,1.3020744,1.60334616,0.1947384,1.011876,0.19092,11.26428,29.06628204,0.23088,4.84848,9.142848,2.3088,0.23088,23.088,-3.92,0,3.009259,1288.526,0.801
23.34238705,1.3020744,1.60334616,0.1947384,1.011876,0.19092,11.26428,28.22800294,0.23088,4.84848,9.142848,2.3088,0.23088,23.088,-2.92,0.6173332,3.009259,1288.7022,0.677
22.59501543,1.3020744,1.60334616,0.1947384,1.011876,0.19092,11.26428,27.32420471,0.23088,4.84848,9.142848,2.3088,0.23088,23.088,-4.24,0,3.009259,1288.8802,0.57
14.8760286,0.8313921,0.84237516,0.868428,3.87165636,0.12771,5.49153,17.98961599,0.015444,0.123552,10.19304,3.0888,0.15444,14.20848,-0.84,0,1.54321,1289.0584,0.511
14.47053403,0.8313921,0.84237516,0.868428,3.87165636,0.12771,5.49153,17.49925045,0.015444,0.123552,10.19304,3.0888,0.15444,14.20848,-6.8,0.2057778,1.54321,1289.233,0.446
14.18129898,0.8313921,0.84237516,0.868428,3.87165636,0.12771,5.49153,17.14947783,0.015444,0.123552,10.19304,3.0888,0.15444,14.20848,-0.92,0,1.54321,1289.4088,0.394
13.97168855,0.8313921,0.84237516,0.868428,3.87165636,0.12771,5.49153,16.89599546,0.015444,0.123552,10.19304,3.0888,0.15444,14.20848,-5.36,0.3086666,1.54321,1289.5842,0.353
